ISO_code,Continent,Country/Region,Date,Susceptibles Smooth (S),Infected Smooth (I),Recovered Smooth (R),Deaths Smooth (D),Mu Smooth,Beta Smooth,Gamma Smooth,Positive Test Rate Smooth,Mobility Rate Smooth
ESP,Europe,Spain,2021-02-28,44146219.71428571,138754.57142857142,2977088.0,70551.71428571429,0.001982294061623622,0.05194659545418484,0.043480620526474056,0.064,-0.14547619047619048
ESP,Europe,Spain,2021-03-01,44138996.85714286,132260.2857142857,2990523.2857142864,70833.57142857142,0.0018260525764266808,0.05004019082953498,0.042315745080484704,0.062,-0.1454761904761905
ESP,Europe,Spain,2021-03-02,44132839.85714285,125608.71428571428,3003085.8571428573,71079.57142857142,0.0020683407776153568,0.05022462004837933,0.040902129267233585,0.06,-0.14452380952380953
ESP,Europe,Spain,2021-03-03,44127122.14285714,119506.71428571428,3014651.4285714286,71333.71428571429,0.002086381356763994,0.05096383752796956,0.03937260862990417,0.059,-0.14142857142857143
ESP,Europe,Spain,2021-03-04,44121908.85714286,113372.28571428572,3025758.0,71574.85714285714,0.002733635924860555,0.05286206627522599,0.038549141952389857,0.057,-0.1380952380952381
ESP,Europe,Spain,2021-03-05,44116936.571428575,107383.28571428572,3036434.1428571427,71860.0,0.002733635924860555,0.055380952698977214,0.03832036546006784,0.056,-0.13714285714285715
ESP,Europe,Spain,2021-03-06,44111964.28571429,101394.28571428572,3047110.2857142864,72145.14285714286,0.002733635924860555,0.0587117850400944,0.03912338662963157,0.056,-0.13833333333333334
ESP,Europe,Spain,2021-03-07,44106992.00000001,95405.28571428572,3057786.4285714286,72430.28571428571,0.0027067990135461713,0.06264157669244001,0.04050893408721533,0.055,-0.14547619047619048
ESP,Europe,Spain,2021-03-08,44102594.00000001,90185.42857142855,3067143.2857142864,72691.28571428571,0.003002464108164613,0.06688129219543555,0.04392916088665736,0.055,-0.14261904761904762
ESP,Europe,Spain,2021-03-09,44097622.85714286,85883.0,3076141.7142857136,72966.42857142858,0.002842197710707419,0.06956682063555411,0.04728333612606202,0.055,-0.14166666666666666
ESP,Europe,Spain,2021-03-10,44092511.42857143,81989.57142857142,3084901.7142857136,73211.28571428571,0.002722728839308891,0.07135135294557335,0.049430058834389536,0.055,-0.14023809523809522
ESP,Europe,Spain,2021-03-11,44087368.85714286,78846.42857142858,3092961.1428571427,73437.57142857142,0.002082196351671501,0.07254701315674794,0.05218259472400855,0.055,-0.1388095238095238
ESP,Europe,Spain,2021-03-12,44082412.85714286,76015.28571428571,3100588.2857142864,73597.57142857142,0.002082196351671501,0.0739992803907029,0.05542110693784227,0.055,-0.13595238095238096
ESP,Europe,Spain,2021-03-13,44077456.85714286,73184.14285714286,3108215.4285714286,73757.57142857142,0.002082196351671501,0.075031228335666,0.0574871842443984,0.055,-0.13095238095238096
ESP,Europe,Spain,2021-03-14,44072500.85714285,70353.0,3115842.571428572,73917.57142857142,0.0019455679700264574,0.07536106444414893,0.060154688150324334,0.055,-0.11857142857142856
ESP,Europe,Spain,2021-03-15,44067630.57142857,68141.14285714286,3122783.571428572,74058.71428571429,0.0017340356367120252,0.0746016537639379,0.061044442043747385,0.055,-0.1107142857142857
