Country/Region,Date,Daily Confirmed,Daily Confirmed Smooth (7 days),Daily Deaths,Daily Deaths Smooth (7 days)
Spain,2020-12-04,8745,8062.714285714285,214,226.28571428571428
Spain,2020-12-05,0,8062.714285714285,0,226.28571428571428
Spain,2020-12-06,0,8062.714285714285,0,226.28571428571428
Spain,2020-12-07,17681,7734.428571428572,394,225.28571428571428
Spain,2020-12-08,0,6554.857142857143,0,162.14285714285714
Spain,2020-12-09,9773,6618.0,373,176.42857142857142
Spain,2020-12-10,7955,6307.714285714285,325,186.57142857142858
Spain,2020-12-11,10519,6561.142857142857,280,196.0
Spain,2020-12-12,0,6561.142857142857,0,196.0
Spain,2020-12-13,0,6561.142857142857,0,196.0
Spain,2020-12-14,21309,7079.428571428572,389,195.28571428571428
Spain,2020-12-15,10328,8554.857142857143,388,250.71428571428572
Spain,2020-12-16,11078,8741.285714285714,195,225.28571428571428
Spain,2020-12-17,12131,9337.857142857143,181,204.71428571428572
Spain,2020-12-18,11815,9523.0,149,186.0
Spain,2020-12-19,0,9523.0,0,186.0
Spain,2020-12-20,0,9523.0,0,186.0
Spain,2020-12-21,22013,9623.57142857143,334,178.14285714285714
Spain,2020-12-22,10654,9670.142857142857,260,159.85714285714286
Spain,2020-12-23,12386,9857.0,178,157.42857142857142
Spain,2020-12-24,12662,9932.857142857143,126,149.57142857142858
Spain,2020-12-25,0,8245.0,0,128.28571428571428
Spain,2020-12-26,0,8245.0,0,128.28571428571428
Spain,2020-12-27,0,8245.0,0,128.28571428571428
Spain,2020-12-28,24462,8594.857142857143,298,123.14285714285714
Spain,2020-12-29,14089,9085.57142857143,320,131.71428571428572
Spain,2020-12-30,16716,9704.142857142857,247,141.57142857142858
Spain,2020-12-31,18047,10473.42857142857,148,144.71428571428572
Spain,2021-01-01,0,10473.42857142857,0,144.71428571428572
Spain,2021-01-02,0,10473.42857142857,0,144.71428571428572
Spain,2021-01-03,0,10473.42857142857,0,144.71428571428572
Spain,2021-01-04,30579,11347.285714285714,241,136.57142857142858
Spain,2021-01-05,23700,12720.285714285714,352,141.14285714285714
Spain,2021-01-06,0,10332.285714285714,0,105.85714285714286
Spain,2021-01-07,42360,13805.57142857143,245,119.71428571428571
Spain,2021-01-08,25456,17442.14285714286,199,148.14285714285714
Spain,2021-01-09,0,17442.14285714286,0,148.14285714285714
Spain,2021-01-10,0,17442.14285714286,0,148.14285714285714
Spain,2021-01-11,61422,21848.285714285714,401,171.0
Spain,2021-01-12,25438,22096.571428571428,408,179.0
Spain,2021-01-13,38869,27649.285714285714,195,206.85714285714286
Spain,2021-01-14,35878,26723.285714285714,201,200.57142857142858
Spain,2021-01-15,40197,28829.14285714286,235,205.71428571428572
Spain,2021-01-16,0,28829.14285714286,0,205.71428571428572
Spain,2021-01-17,0,28829.14285714286,0,205.71428571428572
Spain,2021-01-18,84287,32095.571428571428,455,213.42857142857142
Spain,2021-01-19,34291,33360.28571428572,404,212.85714285714286
Spain,2021-01-20,41576,33747.0,464,251.28571428571428
Spain,2021-01-21,44357,34958.28571428572,404,280.2857142857143
Spain,2021-01-22,42885,35342.28571428572,400,303.85714285714283
Spain,2021-01-23,0,35342.28571428572,0,303.85714285714283
Spain,2021-01-24,0,35342.28571428572,0,303.85714285714283
Spain,2021-01-25,93822,36704.42857142857,767,348.42857142857144
Spain,2021-01-26,36435,37010.71428571428,586,374.42857142857144
Spain,2021-01-27,40285,36826.28571428572,497,379.14285714285717
Spain,2021-01-28,34899,35475.142857142855,515,395.0
Spain,2021-01-29,38118,34794.142857142855,513,411.14285714285717
Spain,2021-01-30,0,34794.142857142855,0,411.14285714285717
Spain,2021-01-31,0,34794.142857142855,0,411.14285714285717
Spain,2021-02-01,79686,32774.71428571428,762,410.42857142857144
Spain,2021-02-02,29064,31721.714285714286,724,430.14285714285717
Spain,2021-02-03,31596,30480.428571428572,565,439.85714285714283
Spain,2021-02-04,29960,29774.85714285714,432,428.0
Spain,2021-02-05,28565,28410.14285714286,584,438.14285714285717
Spain,2021-02-06,0,28410.14285714286,0,438.14285714285717
Spain,2021-02-07,0,28410.14285714286,0,438.14285714285717
Spain,2021-02-08,47095,23754.285714285714,909,459.14285714285717
Spain,2021-02-09,16402,21945.428571428572,766,465.14285714285717
Spain,2021-02-10,18114,20019.428571428572,643,476.2857142857143
Spain,2021-02-11,17853,18289.85714285714,513,487.85714285714283
Spain,2021-02-12,14581,16292.142857142857,530,480.14285714285717
Spain,2021-02-13,0,16292.142857142857,0,480.14285714285717
Spain,2021-02-14,0,16292.142857142857,0,480.14285714285717
Spain,2021-02-15,30251,13885.857142857143,702,450.57142857142856
Spain,2021-02-16,10057,12979.42857142857,530,416.85714285714283
Spain,2021-02-17,10829,11938.714285714286,337,373.14285714285717
Spain,2021-02-18,14515,11461.857142857143,388,355.2857142857143
Spain,2021-02-19,11435,11012.42857142857,397,336.2857142857143
Spain,2021-02-20,0,11012.42857142857,0,336.2857142857143
Spain,2021-02-21,0,11012.42857142857,0,336.2857142857143
Spain,2021-02-22,20849,9669.285714285714,535,312.42857142857144
Spain,2021-02-23,7461,9298.42857142857,443,300.0
Spain,2021-02-24,9212,9067.42857142857,389,307.42857142857144
Spain,2021-02-25,9568,8360.714285714286,345,301.2857142857143
Spain,2021-02-26,8341,7918.714285714285,329,291.57142857142856
Spain,2021-02-27,0,7918.714285714285,0,291.57142857142856
Spain,2021-02-28,0,7918.714285714285,0,291.57142857142856
Spain,2021-03-01,15978,7222.857142857143,467,281.85714285714283
Spain,2021-03-02,0,6157.0,192,246.0
Spain,2021-03-03,6137,5717.714285714285,446,254.14285714285714
Spain,2021-03-04,6037,5213.285714285715,254,241.14285714285714
Spain,2021-03-05,6654,4972.285714285715,637,285.14285714285717
Spain,2021-03-06,0,4972.285714285715,0,285.14285714285717
Spain,2021-03-07,0,4972.285714285715,0,285.14285714285717
Spain,2021-03-08,11958,4398.0,298,261.0
Spain,2021-03-09,4012,4971.142857142857,291,275.14285714285717
Spain,2021-03-10,7119,5111.428571428572,234,244.85714285714286
Spain,2021-03-11,6255,5142.571428571428,124,226.28571428571428
Spain,2021-03-12,5348,4956.0,173,160.0
Spain,2021-03-13,0,4956.0,0,160.0
Spain,2021-03-14,0,4956.0,0,160.0
Spain,2021-03-15,11358,4870.285714285715,166,141.14285714285714
Spain,2021-03-16,4962,5006.0,141,119.71428571428571
Spain,2021-03-17,6092,4859.285714285715,228,118.85714285714286
Spain,2021-03-18,6216,4853.714285714285,117,117.85714285714286
Spain,2021-03-19,0,4089.714285714286,0,93.14285714285714
Spain,2021-03-20,0,4089.714285714286,0,93.14285714285714
Spain,2021-03-21,0,4089.714285714286,0,93.14285714285714
Spain,2021-03-22,16471,4820.142857142857,633,159.85714285714286
Spain,2021-03-23,5516,4899.285714285715,201,168.42857142857142
Spain,2021-03-24,0,4029.0,0,135.85714285714286
Spain,2021-03-25,13419,5058.0,676,215.71428571428572
Spain,2021-03-26,7586,6141.714285714285,590,300.0
Spain,2021-03-27,0,6141.714285714285,0,300.0
Spain,2021-03-28,0,6141.714285714285,0,300.0
Spain,2021-03-29,15501,6003.142857142857,189,236.57142857142858
Spain,2021-03-30,4994,5928.571428571428,106,223.0
Spain,2021-03-31,8534,7147.714285714285,154,245.0
Spain,2021-04-01,7041,6236.571428571428,82,160.14285714285714
Spain,2021-04-02,0,5152.857142857143,0,75.85714285714286
