Country/Region,Date,Num Hospitalizations,Num Hospitalizations Smooth (7 days),Num UCI,Num UCI Smooth (7 days)
Spain,2020-08-22,465,457.85714285714283,35,40.285714285714285
Spain,2020-08-23,441,473.42857142857144,48,43.0
Spain,2020-08-24,599,495.57142857142856,63,46.857142857142854
Spain,2020-08-25,628,519.5714285714286,60,48.42857142857143
Spain,2020-08-26,579,528.7142857142857,47,49.0
Spain,2020-08-27,648,551.2857142857143,60,51.42857142857143
Spain,2020-08-28,715,582.1428571428571,67,54.285714285714285
Spain,2020-08-29,580,598.5714285714286,61,58.0
Spain,2020-08-30,472,603.0,48,58.0
Spain,2020-08-31,649,610.1428571428571,63,58.0
Spain,2020-09-01,687,618.5714285714286,65,58.714285714285715
Spain,2020-09-02,739,641.4285714285714,69,61.857142857142854
Spain,2020-09-03,732,653.4285714285714,81,64.85714285714286
Spain,2020-09-04,741,657.1428571428571,72,65.57142857142857
Spain,2020-09-05,618,662.5714285714286,48,63.714285714285715
Spain,2020-09-06,545,673.0,64,66.0
Spain,2020-09-07,724,683.7142857142857,74,67.57142857142857
Spain,2020-09-08,812,701.5714285714286,71,68.42857142857143
Spain,2020-09-09,780,707.4285714285714,62,67.42857142857143
Spain,2020-09-10,785,715.0,58,64.14285714285714
Spain,2020-09-11,882,735.1428571428571,80,65.28571428571429
Spain,2020-09-12,767,756.4285714285714,61,67.14285714285714
Spain,2020-09-13,649,771.2857142857143,58,66.28571428571429
Spain,2020-09-14,868,791.8571428571429,79,67.0
Spain,2020-09-15,917,806.8571428571429,82,68.57142857142857
Spain,2020-09-16,865,819.0,79,71.0
Spain,2020-09-17,862,830.0,77,73.71428571428571
Spain,2020-09-18,929,836.7142857142857,94,75.71428571428571
Spain,2020-09-19,695,826.4285714285714,71,77.14285714285714
Spain,2020-09-20,615,821.5714285714286,77,79.85714285714286
Spain,2020-09-21,867,821.4285714285714,79,79.85714285714286
Spain,2020-09-22,956,827.0,90,81.0
Spain,2020-09-23,857,825.8571428571429,75,80.42857142857143
Spain,2020-09-24,896,830.7142857142857,64,78.57142857142857
Spain,2020-09-25,841,818.1428571428571,86,77.42857142857143
Spain,2020-09-26,654,812.2857142857143,52,74.71428571428571
Spain,2020-09-27,567,805.4285714285714,67,73.28571428571429
Spain,2020-09-28,807,796.8571428571429,92,75.14285714285714
Spain,2020-09-29,874,785.1428571428571,71,72.42857142857143
Spain,2020-09-30,795,776.2857142857143,73,72.14285714285714
Spain,2020-10-01,798,762.2857142857143,70,73.0
Spain,2020-10-02,835,761.4285714285714,69,70.57142857142857
Spain,2020-10-03,652,761.1428571428571,65,72.42857142857143
Spain,2020-10-04,575,762.2857142857143,50,70.0
Spain,2020-10-05,736,752.1428571428571,69,66.71428571428571
Spain,2020-10-06,843,747.7142857142857,88,69.14285714285714
Spain,2020-10-07,781,745.7142857142857,66,68.14285714285714
Spain,2020-10-08,892,759.1428571428571,87,70.57142857142857
Spain,2020-10-09,912,770.1428571428571,60,69.28571428571429
Spain,2020-10-10,732,781.5714285714286,56,68.0
Spain,2020-10-11,732,804.0,61,69.57142857142857
Spain,2020-10-12,720,801.7142857142857,64,68.85714285714286
Spain,2020-10-13,962,818.7142857142857,86,68.57142857142857
Spain,2020-10-14,1038,855.4285714285714,98,73.14285714285714
Spain,2020-10-15,1006,871.7142857142857,87,73.14285714285714
Spain,2020-10-16,1099,898.4285714285714,87,77.0
Spain,2020-10-17,897,922.0,112,85.0
Spain,2020-10-18,865,941.0,82,88.0
Spain,2020-10-19,1181,1006.8571428571429,130,97.42857142857143
Spain,2020-10-20,1246,1047.4285714285713,94,98.57142857142857
Spain,2020-10-21,1256,1078.5714285714287,106,99.71428571428571
Spain,2020-10-22,1348,1127.4285714285713,105,102.28571428571429
Spain,2020-10-23,1360,1164.7142857142858,113,106.0
Spain,2020-10-24,1192,1206.857142857143,99,104.14285714285714
Spain,2020-10-25,1022,1229.2857142857142,96,106.14285714285714
Spain,2020-10-26,1379,1257.5714285714287,125,105.42857142857143
Spain,2020-10-27,1478,1290.7142857142858,118,108.85714285714286
Spain,2020-10-28,1479,1322.5714285714287,141,113.85714285714286
Spain,2020-10-29,1495,1343.5714285714287,145,119.57142857142857
Spain,2020-10-30,1598,1377.5714285714287,147,124.42857142857143
Spain,2020-10-31,1244,1385.0,118,127.14285714285714
Spain,2020-11-01,1178,1407.2857142857142,122,130.85714285714286
Spain,2020-11-02,1432,1414.857142857143,137,132.57142857142858
Spain,2020-11-03,1574,1428.5714285714287,135,135.0
Spain,2020-11-04,1594,1445.0,136,134.28571428571428
Spain,2020-11-05,1498,1445.4285714285713,158,136.14285714285714
Spain,2020-11-06,1606,1446.5714285714287,143,135.57142857142858
Spain,2020-11-07,1240,1446.0,131,137.42857142857142
Spain,2020-11-08,1043,1426.7142857142858,138,139.71428571428572
Spain,2020-11-09,1517,1438.857142857143,151,141.71428571428572
Spain,2020-11-10,1585,1440.4285714285713,163,145.71428571428572
Spain,2020-11-11,1475,1423.4285714285713,139,146.14285714285714
Spain,2020-11-12,1384,1407.142857142857,130,142.14285714285714
Spain,2020-11-13,1394,1376.857142857143,150,143.14285714285714
Spain,2020-11-14,1073,1353.0,117,141.14285714285714
Spain,2020-11-15,896,1332.0,116,138.0
Spain,2020-11-16,1346,1307.5714285714287,119,133.42857142857142
Spain,2020-11-17,1334,1271.7142857142858,118,127.0
Spain,2020-11-18,1140,1223.857142857143,102,121.71428571428571
Spain,2020-11-19,1063,1178.0,119,120.14285714285714
Spain,2020-11-20,1116,1138.2857142857142,100,113.0
Spain,2020-11-21,800,1099.2857142857142,87,108.71428571428571
Spain,2020-11-22,649,1064.0,76,103.0
Spain,2020-11-23,932,1004.8571428571429,110,101.71428571428571
Spain,2020-11-24,966,952.2857142857143,98,98.85714285714286
Spain,2020-11-25,888,916.2857142857143,110,100.0
Spain,2020-11-26,861,887.4285714285714,105,98.0
Spain,2020-11-27,828,846.2857142857143,71,93.85714285714286
Spain,2020-11-28,666,827.1428571428571,62,90.28571428571429
Spain,2020-11-29,557,814.0,83,91.28571428571429
Spain,2020-11-30,735,785.8571428571429,83,87.42857142857143
Spain,2020-12-01,783,759.7142857142857,63,82.42857142857143
Spain,2020-12-02,697,732.4285714285714,71,76.85714285714286
Spain,2020-12-03,665,704.4285714285714,59,70.28571428571429
Spain,2020-12-04,689,684.5714285714286,65,69.42857142857143
Spain,2020-12-05,494,660.0,41,66.42857142857143
Spain,2020-12-06,472,647.8571428571429,56,62.57142857142857
Spain,2020-12-07,576,625.1428571428571,64,59.857142857142854
Spain,2020-12-08,556,592.7142857142857,60,59.42857142857143
Spain,2020-12-09,670,588.8571428571429,76,60.142857142857146
Spain,2020-12-10,686,591.8571428571429,69,61.57142857142857
Spain,2020-12-11,725,597.0,60,60.857142857142854
Spain,2020-12-12,561,606.5714285714286,68,64.71428571428571
Spain,2020-12-13,486,608.5714285714286,47,63.42857142857143
Spain,2020-12-14,740,632.0,73,64.71428571428571
Spain,2020-12-15,719,655.2857142857143,55,64.0
Spain,2020-12-16,695,658.8571428571429,71,63.285714285714285
Spain,2020-12-17,682,658.2857142857143,65,62.714285714285715
Spain,2020-12-18,721,657.7142857142857,64,63.285714285714285
Spain,2020-12-19,532,653.5714285714286,58,61.857142857142854
Spain,2020-12-20,534,660.4285714285714,46,61.714285714285715
Spain,2020-12-21,800,669.0,63,60.285714285714285
Spain,2020-12-22,809,681.8571428571429,78,63.57142857142857
Spain,2020-12-23,806,697.7142857142857,80,64.85714285714286
Spain,2020-12-24,624,689.4285714285714,62,64.42857142857143
Spain,2020-12-25,568,667.5714285714286,68,65.0
Spain,2020-12-26,606,678.1428571428571,82,68.42857142857143
Spain,2020-12-27,723,705.1428571428571,87,74.28571428571429
Spain,2020-12-28,906,720.2857142857143,82,77.0
Spain,2020-12-29,899,733.1428571428571,94,79.28571428571429
Spain,2020-12-30,910,748.0,78,79.0
Spain,2020-12-31,759,767.2857142857143,84,82.14285714285714
Spain,2021-01-01,749,793.1428571428571,81,84.0
Spain,2021-01-02,841,826.7142857142857,86,84.57142857142857
Spain,2021-01-03,886,850.0,84,84.14285714285714
Spain,2021-01-04,1298,906.0,115,88.85714285714286
Spain,2021-01-05,1278,960.1428571428571,117,92.14285714285714
Spain,2021-01-06,993,972.0,106,96.14285714285714
Spain,2021-01-07,1334,1054.142857142857,133,103.14285714285714
Spain,2021-01-08,1428,1151.142857142857,139,111.42857142857143
