ISO_code,Continent,Country/Region,Date,Susceptibles Smooth (S),Infected Smooth (I),Recovered Smooth (R),Deaths Smooth (D),Total Population (N),Total Population Without Deahts (N Alive)
ESP,Europe,Spain,2020-10-20,46379082.14285714,147672.57142857142,770154.5714285716,35704.71428571428,47332614.00000001,47296909.28571429
ESP,Europe,Spain,2020-10-21,46365190.85714286,152007.42857142858,779574.8571428572,35840.857142857145,47332614.0,47296773.14285714
ESP,Europe,Spain,2020-10-22,46350204.14285715,156998.42857142858,789432.2857142857,35979.142857142855,47332614.0,47296634.85714286
ESP,Europe,Spain,2020-10-23,46334551.0,162463.85714285713,799480.4285714284,36118.71428571428,47332614.0,47296495.28571428
ESP,Europe,Spain,2020-10-24,46318897.85714286,167929.2857142857,809528.5714285716,36258.28571428572,47332614.0,47296355.71428572
ESP,Europe,Spain,2020-10-25,46303244.71428571,173394.7142857143,819576.7142857143,36397.857142857145,47332614.0,47296216.14285714
ESP,Europe,Spain,2020-10-26,46285548.85714286,180276.85714285716,830242.0,36546.28571428572,47332614.0,47296067.71428572
ESP,Europe,Spain,2020-10-27,46267203.71428571,188472.57142857145,840236.0,36701.71428571428,47332614.0,47295912.28571428
ESP,Europe,Spain,2020-10-28,46248459.71428572,196873.1428571429,850422.2857142857,36858.857142857145,47332614.0,47295755.14285714
ESP,Europe,Spain,2020-10-29,46229345.14285714,205515.85714285716,860734.4285714284,37018.57142857143,47332614.0,47295595.428571425
ESP,Europe,Spain,2020-10-30,46209410.0,214632.7142857143,871391.8571428572,37179.42857142857,47332614.0,47295434.571428575
ESP,Europe,Spain,2020-10-31,46189474.85714286,223749.57142857145,882049.2857142857,37340.28571428572,47332614.0,47295273.71428572
ESP,Europe,Spain,2020-11-01,46169539.71428572,232866.42857142855,892706.7142857143,37501.142857142855,47332614.0,47295112.85714286
ESP,Europe,Spain,2020-11-02,46149200.14285715,240943.2857142857,904794.2857142857,37676.28571428572,47332614.0,47294937.71428572
ESP,Europe,Spain,2020-11-03,46128824.71428572,248114.85714285716,917827.1428571428,37847.28571428572,47332614.0,47294766.71428572
ESP,Europe,Spain,2020-11-04,46107695.42857143,255110.1428571429,931582.2857142857,38226.142857142855,47332614.0,47294387.85714286
ESP,Europe,Spain,2020-11-05,46086805.0,260745.42857142855,946430.7142857143,38632.857142857145,47332614.0,47293981.14285714
ESP,Europe,Spain,2020-11-06,46066354.42857143,265260.2857142857,961944.2857142857,39055.0,47332614.0,47293559.0
ESP,Europe,Spain,2020-11-07,46045903.85714286,269775.14285714284,977457.8571428572,39477.142857142855,47332614.0,47293136.85714286
ESP,Europe,Spain,2020-11-08,46025453.28571429,274290.0,992971.4285714284,39899.28571428572,47332614.0,47292714.71428572
ESP,Europe,Spain,2020-11-09,46005378.85714286,276375.85714285716,1010518.8571428572,40340.42857142857,47332614.0,47292273.571428575
ESP,Europe,Spain,2020-11-10,45987971.42857143,275186.4285714286,1028708.5714285716,40747.57142857143,47332614.00000001,47291866.42857143
ESP,Europe,Spain,2020-11-11,45968928.42857143,275358.71428571426,1047295.4285714284,41031.42857142857,47332614.0,47291582.571428575
ESP,Europe,Spain,2020-11-12,45950227.85714286,274822.2857142857,1066250.2857142857,41313.57142857143,47332614.0,47291300.428571425
ESP,Europe,Spain,2020-11-13,45931690.85714286,273308.4285714286,1086024.5714285714,41590.142857142855,47332614.0,47291023.85714286
ESP,Europe,Spain,2020-11-14,45913153.85714285,271794.5714285714,1105798.857142857,41866.71428571428,47332614.0,47290747.28571428
ESP,Europe,Spain,2020-11-15,45894616.85714286,270280.71428571426,1125573.142857143,42143.28571428572,47332614.0,47290470.71428572
ESP,Europe,Spain,2020-11-16,45878095.99999999,266364.5714285714,1145737.5714285714,42415.857142857145,47332614.0,47290198.14285714
ESP,Europe,Spain,2020-11-17,45859695.28571428,264226.14285714284,1165942.0,42750.57142857143,47332614.0,47289863.428571425
ESP,Europe,Spain,2020-11-18,45844319.28571429,258575.42857142855,1186692.4285714286,43026.857142857145,47332614.0,47289587.14285714
ESP,Europe,Spain,2020-11-19,45829411.57142858,252738.0,1207176.142857143,43288.28571428572,47332614.00000001,47289325.714285724
ESP,Europe,Spain,2020-11-20,45815391.71428571,246465.1428571429,1227204.5714285714,43552.57142857143,47332614.0,47289061.428571425
ESP,Europe,Spain,2020-11-21,45801371.85714286,240192.2857142857,1247233.0,43816.857142857145,47332614.0,47288797.14285714
ESP,Europe,Spain,2020-11-22,45787352.00000001,233919.42857142855,1267261.4285714286,44081.142857142855,47332614.0,47288532.85714286
ESP,Europe,Spain,2020-11-23,45775101.71428572,226268.1428571429,1286894.7142857143,44349.428571428565,47332614.0,47288264.571428575
