ISO_code,Continent,Country/Region,Date,Mu Raw,Mu Smooth (7 days average),Beta Raw,Beta Smooth (7 days average),Beta Fixed Raw (No negative values),Beta Fixed Smooth,R0 Raw,R0 Smooth (7 days average),R0 Fixed Raw (No negative values),R0 Fixed Smooth
ESP,Europe,Spain,2021-02-01,0.0010174293633799126,0.0008847150984490897,0.07703967874004249,0.0705681907322657,0.07703967874004249,0.0705681907322657,1.1093713738566118,1.016181946544626,1.1093713738566118,1.016181946544626
ESP,Europe,Spain,2021-02-02,0.0010518790849673202,0.0009091159633702076,0.07192881528990842,0.06707869616532322,0.07192881528990842,0.06707869616532322,1.0357749401746812,0.9659332247806544,1.0357749401746812,0.9659332247806544
ESP,Europe,Spain,2021-02-03,0.0010505685972144573,0.0008914483591508673,0.06966469964713569,0.06279502266544314,0.06966469964713569,0.06279502266544314,1.0031716749187538,0.9042483263823812,1.0031716749187538,0.9042483263823812
ESP,Europe,Spain,2021-02-04,0.0,0.0009263573888962394,0.07373383254497037,0.0587170579829288,0.07373383254497037,0.0587170579829288,1.0617671886475732,0.8455256349541747,1.0617671886475732,0.8455256349541747
ESP,Europe,Spain,2021-02-05,0.0,0.0009263573888962394,0.07373383254497037,0.05876425893890443,0.07373383254497037,0.05876425893890443,1.0617671886475732,0.8462053287202238,1.0617671886475732,0.8462053287202238
ESP,Europe,Spain,2021-02-06,0.0015680625578763246,0.0009263573888962394,0.06467510888176872,0.05881145989488007,0.06467510888176872,0.05881145989488007,0.9313215678974696,0.846885022486273,0.9313215678974696,0.846885022486273
ESP,Europe,Spain,2021-02-07,0.001505066085705614,0.000999854993764138,0.0632013674770637,0.044109833262107524,0.0632013674770637,0.04957215862605597,0.9100996916697173,0.6351815989743483,0.9100996916697173,0.7138390842152059
ESP,Europe,Spain,2021-02-08,0.0011882354178277374,0.0010657081751939564,0.05261321677144514,0.03806001483278108,0.05261321677144514,0.04352234019672953,0.75763032150881,0.5480642135920476,0.75763032150881,0.6267216988329052
ESP,Europe,Spain,2021-02-09,0.000928205855431938,0.001144624028978182,0.04194310079074795,0.03218733013538161,0.04194310079074795,0.03764965549933007,0.6039806513867705,0.46349755394949516,0.6039806513867705,0.5421550391903529
ESP,Europe,Spain,2021-02-10,0.0012949318054320616,0.0012231688863093624,0.0411189468695353,0.029525556797899873,0.0411189468695353,0.034987882161848324,0.5921128349213083,0.42516801788975817,0.5921128349213083,0.5038255031306158
ESP,Europe,Spain,2021-02-11,0.0,0.0012675866604418286,0.07406423923679985,0.023603110305023007,0.07406423923679985,0.029113746894771853,1.0665250450099177,0.33988478839233127,1.0665250450099177,0.4192379552847147
ESP,Europe,Spain,2021-02-12,0.0,0.0012675866604418286,0.07406423923679985,0.023630369611271407,0.07406423923679985,0.029141006201020253,1.0665250450099177,0.34027732240230824,1.0665250450099177,0.4196304892946916
ESP,Europe,Spain,2021-02-13,0.0020825457919516135,0.0012675866604418286,-0.03823627754763915,0.023657628917519803,0,0.02916826550726865,-0.5506023966860037,0.34066985641228514,0.0,0.4200230233046685
ESP,Europe,Spain,2021-02-14,0.0019660383557143445,0.001297289387239957,0.020852638471778626,0.015469253874713346,0.020852638471778626,0.02916826550726865,0.3002779939936122,0.22275725579587216,0.3002779939936122,0.4200230233046685
ESP,Europe,Spain,2021-02-15,0.0017406463943173175,0.0013109054016811994,0.01150442388964888,0.012235894086518049,0.01150442388964888,0.02618931715415742,0.16566370401094388,0.17619687484585989,0.16566370401094388,0.37712616701986684
ESP,Europe,Spain,2021-02-16,0.0014780198567502002,0.0012642678884830596,0.023310687428375765,0.008248402975549112,0.023310687428375765,0.024545828027064724,0.335673898968611,0.11877700284790721,0.335673898968611,0.353459923589732
ESP,Europe,Spain,2021-02-17,0.001605856224359324,0.0013076607549573922,-0.0003381785806027751,0.004995058487918498,0,0.021292483539434106,-0.004869771560679962,0.07192884222602637,0.0,0.3066117629678511
