ISO_code,Continent,Country/Region,Date,Mu Raw,Mu Smooth (7 days average),Beta Raw,Beta Smooth (7 days average),Beta Fixed Raw (No negative values),Beta Fixed Smooth,Gamma Raw,Gamma Smooth (7 days average),R0 Raw,R0 Smooth (7 days average),R0 Fixed Raw (No negative values),R0 Fixed Smooth
ESP,Europe,Spain,2020-03-30,0.02368918880763475,0.015480192345130423,0.2721326368228237,0.1568342947085457,0.2721326368228237,0.1568342947085457,0.01589632097580258,0.023997724157696885,17.119221311463495,6.535382008641166,17.119221311463495,6.535382008641166
ESP,Europe,Spain,2020-03-31,0.016450910757245963,0.013825432604880504,0.18970469505022036,0.1333442228517203,0.18970469505022036,0.1333442228517203,-2.2912131973880168e-05,0.025609093864579508,-8279.661415466868,5.206909059603689,-8279.661415466868,5.206909059603689
ESP,Europe,Spain,2020-04-01,0.015097951131858044,0.013160948023514973,0.15513382757038047,0.12021374660109382,0.15513382757038047,0.12021374660109382,0.05619250375983906,0.03235845724077573,2.7607566346110217,3.7150642166465637,2.7607566346110217,3.7150642166465637
ESP,Europe,Spain,2020-04-02,0.015212140874517862,0.0124396952730166,0.13565571004561666,0.1101292505765847,0.13565571004561666,0.1101292505765847,0.01977217836415414,0.028104044487904153,6.860939019827625,3.9186263964243224,6.860939019827625,3.9186263964243224
ESP,Europe,Spain,2020-04-03,0.013446451676302472,0.01147374397043356,0.11277419086260262,0.10201060910956618,0.11277419086260262,0.10201060910956618,0.021504495799007484,0.0327451411693962,5.244214601293168,3.115289947349682,5.244214601293168,3.115289947349682
ESP,Europe,Spain,2020-04-04,0.013875801696100186,0.010651699041354873,0.11944590707467782,0.09459703548807255,0.11944590707467782,0.09459703548807255,0.03177908143104654,0.03441850778574563,3.7586330912002155,2.7484351174355606,3.7586330912002155,2.7484351174355606
ESP,Europe,Spain,2020-04-05,0.01058890147225368,0.009756291855634713,0.11299309553349819,0.0853633544403388,0.11299309553349819,0.0853633544403388,0.022862400906002264,0.038928995884908044,4.942311002158707,2.1927962049859184,4.942311002158707,2.1927962049859184
ESP,Europe,Spain,2020-04-06,0.012105870625885315,0.009354767645173862,0.10770213382504583,0.07755885931188923,0.10770213382504583,0.07755885931188923,0.027175908923980904,0.042374189111783096,3.9631474379135105,1.8303325901361553,3.9631474379135105,1.8303325901361553
ESP,Europe,Spain,2020-04-07,0.011799518687687246,0.008800366207097125,0.09779136129583509,0.07207764911077581,0.09779136129583509,0.07207764911077581,0.047222631501399735,0.052319896400177805,2.0708579379557963,1.3776336359590127,2.0708579379557963,1.3776336359590127
ESP,Europe,Spain,2020-04-08,0.010049181878369432,0.008183375643411987,0.08454235539881665,0.0662940250682009,0.08454235539881665,0.0662940250682009,0.02641161448973801,0.05789678471470081,3.200953710408911,1.1450381121314308,3.200953710408911,1.1450381121314308
ESP,Europe,Spain,2020-04-09,0.008450481756436581,0.007821484619245169,0.07882521977648715,0.06279841306660096,0.07882521977648715,0.06279841306660096,0.05225985513459846,0.06624946622244984,1.5083321523465378,0.9479082119052692,1.5083321523465378,0.9479082119052692
ESP,Europe,Spain,2020-04-10,0.007692137172751657,0.007533266702849888,0.060879175512147166,0.05988729458958821,0.060879175512147166,0.05988729458958821,0.03321806211345348,0.07046287051250578,1.8327130373897036,0.8499127860389876,1.8327130373897036,0.8499127860389876
ESP,Europe,Spain,2020-04-11,0.007607951396059081,0.0075224919387092476,0.05481013974054153,0.0580782389382923,0.05481013974054153,0.0580782389382923,0.06335249812518341,0.07664176035725208,0.8651614594934783,0.7577884258864986,0.8651614594934783,0.7577884258864986
ESP,Europe,Spain,2020-04-12,0.007778231999027721,0.0074595932185732555,0.058361629634351195,0.05638735901668825,0.058361629634351195,0.05638735901668825,0.046978753494127654,0.08056956729574316,1.242298385836193,0.6998592757698407,1.242298385836193,0.6998592757698407
ESP,Europe,Spain,2020-04-13,0.00822506055934816,0.0069428050091944185,0.0693336624172518,0.05290575011612503,0.0693336624172518,0.05290575011612503,0.0967958599427439,0.08816126832822034,0.7162874781861914,0.6001019622263073,0.7162874781861914,0.6001019622263073
