country_region_code,country_region,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,average_perc,average_rate
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-18,-92.0,-54.0,-85.0,-84.0,-61.0,25.0,-58.5,-0.585
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-19,-95.0,-76.0,-89.0,-89.0,-65.0,22.0,-65.33333333333333,-0.6533333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-20,-87.0,-56.0,-75.0,-80.0,-66.0,28.0,-56.0,-0.56
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-21,-87.0,-51.0,-77.0,-80.0,-66.0,29.0,-55.333333333333336,-0.5533333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-22,-87.0,-47.0,-75.0,-80.0,-65.0,29.0,-54.166666666666664,-0.5416666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-23,-87.0,-51.0,-74.0,-80.0,-67.0,30.0,-54.833333333333336,-0.5483333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-24,-88.0,-46.0,-76.0,-79.0,-65.0,32.0,-53.666666666666664,-0.5366666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-25,-92.0,-52.0,-84.0,-83.0,-59.0,25.0,-57.5,-0.575
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-26,-92.0,-66.0,-77.0,-82.0,-62.0,21.0,-59.666666666666664,-0.5966666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-27,-85.0,-50.0,-65.0,-76.0,-63.0,27.0,-52.0,-0.52
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-28,-85.0,-45.0,-64.0,-75.0,-64.0,26.0,-51.166666666666664,-0.5116666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-29,-84.0,-41.0,-64.0,-75.0,-63.0,28.0,-49.833333333333336,-0.49833333333333335
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-30,-82.0,-30.0,-63.0,-74.0,-63.0,27.0,-47.5,-0.475
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-01,-94.0,-88.0,-74.0,-86.0,-86.0,40.0,-64.66666666666667,-0.6466666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-02,-84.0,-31.0,-43.0,-63.0,-53.0,21.0,-42.166666666666664,-0.42166666666666663
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-03,-83.0,-44.0,-44.0,-64.0,-52.0,18.0,-44.833333333333336,-0.44833333333333336
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-04,-75.0,-35.0,-26.0,-62.0,-58.0,23.0,-38.833333333333336,-0.38833333333333336
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-05,-76.0,-32.0,-27.0,-61.0,-58.0,23.0,-38.5,-0.385
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-06,-76.0,-32.0,-25.0,-61.0,-58.0,24.0,-38.0,-0.38
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-07,-76.0,-33.0,-29.0,-63.0,-58.0,24.0,-39.166666666666664,-0.39166666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-08,-78.0,-34.0,-37.0,-64.0,-57.0,27.0,-40.5,-0.405
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-09,-84.0,-38.0,-49.0,-64.0,-47.0,21.0,-43.5,-0.435
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-10,-86.0,-57.0,-63.0,-72.0,-51.0,19.0,-51.666666666666664,-0.5166666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-11,-66.0,-28.0,-21.0,-57.0,-52.0,20.0,-34.0,-0.34
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-12,-70.0,-29.0,-35.0,-60.0,-53.0,21.0,-37.666666666666664,-0.37666666666666665
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-13,-69.0,-26.0,-27.0,-58.0,-53.0,21.0,-35.333333333333336,-0.35333333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-14,-72.0,-30.0,-46.0,-64.0,-54.0,22.0,-40.666666666666664,-0.4066666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-15,-72.0,-29.0,-36.0,-64.0,-55.0,25.0,-38.5,-0.385
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-16,-76.0,-31.0,-39.0,-59.0,-40.0,17.0,-38.0,-0.38
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-17,-75.0,-41.0,-32.0,-58.0,-38.0,14.0,-38.333333333333336,-0.38333333333333336
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-18,-57.0,-23.0,-1.0,-51.0,-48.0,17.0,-27.166666666666668,-0.27166666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-19,-58.0,-21.0,-3.0,-51.0,-48.0,18.0,-27.166666666666668,-0.27166666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-20,-58.0,-20.0,-5.0,-52.0,-48.0,18.0,-27.5,-0.275
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-21,-58.0,-18.0,-7.0,-53.0,-48.0,19.0,-27.5,-0.275
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-22,-60.0,-19.0,-14.0,-53.0,-46.0,20.0,-28.666666666666668,-0.2866666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-23,-66.0,-23.0,-21.0,-50.0,-29.0,13.0,-29.333333333333332,-0.29333333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-24,-67.0,-33.0,-25.0,-55.0,-29.0,11.0,-33.0,-0.33
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-25,-44.0,-17.0,8.0,-44.0,-44.0,15.0,-21.0,-0.21
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-26,-45.0,-16.0,9.0,-44.0,-43.0,15.0,-20.666666666666668,-0.20666666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-27,-45.0,-15.0,10.0,-45.0,-42.0,15.0,-20.333333333333332,-0.2033333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-28,-44.0,-12.0,11.0,-44.0,-42.0,15.0,-19.333333333333332,-0.19333333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-29,-47.0,-13.0,2.0,-46.0,-41.0,16.0,-21.5,-0.215
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-30,-52.0,-16.0,2.0,-37.0,-17.0,8.0,-18.666666666666668,-0.18666666666666668
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-05-31,-57.0,-26.0,-16.0,-49.0,-16.0,7.0,-26.166666666666668,-0.26166666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-01,-38.0,-16.0,14.0,-42.0,-42.0,14.0,-18.333333333333332,-0.18333333333333332
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-02,-38.0,-11.0,11.0,-40.0,-39.0,13.0,-17.333333333333332,-0.1733333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-03,-39.0,-10.0,1.0,-42.0,-39.0,14.0,-19.166666666666668,-0.19166666666666668
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-04,-41.0,-10.0,-11.0,-44.0,-39.0,14.0,-21.833333333333332,-0.21833333333333332
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-05,-37.0,-10.0,8.0,-40.0,-37.0,13.0,-17.166666666666668,-0.1716666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-06,-43.0,-14.0,4.0,-35.0,-13.0,7.0,-15.666666666666666,-0.15666666666666665
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-07,-52.0,-25.0,-21.0,-49.0,-14.0,8.0,-25.5,-0.255
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-08,-29.0,-12.0,0.0,-40.0,-37.0,12.0,-17.666666666666668,-0.17666666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-09,-31.0,-14.0,6.0,-40.0,-38.0,12.0,-17.5,-0.175
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-10,-28.0,-8.0,12.0,-38.0,-36.0,11.0,-14.5,-0.145
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-11,-31.0,-13.0,-3.0,-42.0,-39.0,13.0,-19.166666666666668,-0.19166666666666668
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-12,-31.0,-9.0,-3.0,-40.0,-36.0,12.0,-17.833333333333332,-0.17833333333333332
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-13,-35.0,-13.0,12.0,-32.0,-7.0,5.0,-11.666666666666666,-0.11666666666666665
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-14,-39.0,-17.0,7.0,-39.0,-3.0,4.0,-14.5,-0.145
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-15,-23.0,-10.0,20.0,-36.0,-34.0,10.0,-12.166666666666666,-0.12166666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-16,-26.0,-10.0,5.0,-37.0,-34.0,11.0,-15.166666666666666,-0.15166666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-17,-24.0,-7.0,16.0,-35.0,-34.0,10.0,-12.333333333333334,-0.12333333333333334
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-18,-24.0,-8.0,16.0,-36.0,-34.0,10.0,-12.666666666666666,-0.12666666666666665
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-19,-26.0,-8.0,18.0,-36.0,-32.0,9.0,-12.5,-0.125
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-20,-32.0,-12.0,27.0,-30.0,-4.0,2.0,-8.166666666666666,-0.08166666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-21,-34.0,-11.0,19.0,-35.0,0.0,0.0,-10.166666666666666,-0.10166666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-22,-17.0,-6.0,38.0,-31.0,-35.0,7.0,-7.333333333333333,-0.07333333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-23,-16.0,2.0,42.0,-28.0,-34.0,5.0,-4.833333333333333,-0.04833333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-24,-30.0,-29.0,42.0,-40.0,-47.0,10.0,-15.666666666666666,-0.15666666666666665
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-25,-18.0,-1.0,24.0,-32.0,-33.0,7.0,-8.833333333333334,-0.08833333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-26,-22.0,-4.0,24.0,-32.0,-32.0,6.0,-10.0,-0.1
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-27,-29.0,-11.0,33.0,-29.0,-6.0,0.0,-7.0,-0.07
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-28,-31.0,-9.0,19.0,-34.0,6.0,-2.0,-8.5,-0.085
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-29,-13.0,-6.0,37.0,-30.0,-32.0,6.0,-6.333333333333333,-0.06333333333333332
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-06-30,-13.0,-4.0,35.0,-29.0,-30.0,6.0,-5.833333333333333,-0.05833333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-01,-14.0,-3.0,30.0,-29.0,-31.0,6.0,-6.833333333333333,-0.06833333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-02,-13.0,-1.0,29.0,-29.0,-31.0,6.0,-6.5,-0.065
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-07-03,-18.0,-3.0,31.0,-29.0,-30.0,4.0,-7.5,-0.075
