Country/Region,Date,Daily Confirmed Smooth,Daily Deaths Smooth,Positive Test Rate Smooth,Mobility Rate Smooth,Num Hospitalizations Smooth,Num UCI Smooth,Beta Smooth,Gamma Smooth,Mu Smooth
Spain,2021-09-23,2504.428571428572,63.71428571428572,0.03,0.029047619047619,138.71428571428572,17.142857142857142,0.0627275830483866,0.0829079871457434,0.001407524127132
Spain,2021-09-24,2436.428571428572,63.71428571428572,0.029,0.0249999999999999,135.42857142857142,16.714285714285715,0.0637196223931342,0.0847003584367007,0.001407524127132
Spain,2021-09-25,2436.428571428572,63.71428571428572,0.028,0.0235714285714285,132.42857142857142,15.142857142857142,0.0648978094857248,0.0856346108363299,0.001407524127132
Spain,2021-09-26,2436.428571428572,63.71428571428572,0.028,0.0233333333333333,128.85714285714286,14.285714285714286,0.0661624687635763,0.0865108575315888,0.0013337438357559
Spain,2021-09-27,2300.8571428571427,56.71428571428572,0.027,0.0259523809523809,121.85714285714286,14.0,0.0671183461024739,0.0873813727956833,0.0013285151273876
Spain,2021-09-28,2278.0,53.57142857142857,0.026,0.028095238095238,116.14285714285714,11.142857142857142,0.0676044233032762,0.0881262474796415,0.0011615811252956
Spain,2021-09-29,2266.714285714286,44.57142857142857,0.025,0.0264285714285714,115.28571428571428,10.571428571428571,0.0673893572958419,0.089123529507764,0.0008947475447285
Spain,2021-09-30,2176.5714285714284,32.857142857142854,0.024,0.0278571428571428,109.71428571428572,10.0,0.0672840675198285,0.0904897890055247,0.0009507585117592
Spain,2021-10-01,2075.285714285714,33.42857142857143,0.023,0.0297619047619047,107.0,10.285714285714286,0.0673988162046584,0.0922595076025558,0.0009507585117592
Spain,2021-10-02,2075.285714285714,33.42857142857143,0.022,0.029047619047619,105.71428571428572,10.285714285714286,0.067591918204395,0.0931437326219354,0.0009507585117592
Spain,2021-10-03,2075.285714285714,33.42857142857143,0.022,0.0159523809523809,103.71428571428572,10.285714285714286,0.0678601390595265,0.0938818995637265,0.0009885910721495
Spain,2021-10-04,1965.571428571429,32.714285714285715,0.021,0.0119047619047619,102.85714285714286,10.285714285714286,0.0680149037911807,0.0943937650412759,0.0012062073419828
Spain,2021-10-05,1895.7142857142856,37.57142857142857,0.021,0.0088095238095238,101.14285714285714,10.428571428571429,0.0684896114499871,0.0946941910051923,0.0013300899318339
Spain,2021-10-06,1830.2857142857144,40.142857142857146,0.02,0.0102380952380952,97.57142857142856,10.571428571428571,0.0685881910916929,0.0945274155289204,0.0013707355222359
Spain,2021-10-07,1745.571428571429,40.85714285714285,0.02,0.009047619047619,97.28571428571428,10.714285714285714,0.0689472143622189,0.0943623109492463,0.001565387385538
Spain,2021-10-08,1784.428571428571,45.0,0.021,0.0099999999999999,93.42857142857144,10.142857142857142,0.0683881025102844,0.0942161955801196,0.001565387385538
Spain,2021-10-09,1784.428571428571,45.0,0.021,0.009047619047619,92.42857142857144,9.857142857142858,0.0680098592108284,0.0944252375848957,0.001565387385538
Spain,2021-10-10,1784.428571428571,45.0,0.021,0.0238095238095238,94.57142857142856,9.428571428571429,0.0677957422810234,0.0943413221211966,0.0015339815030876
Spain,2021-10-11,1721.2857142857142,42.85714285714285,0.022,0.0371428571428571,98.0,10.285714285714286,0.0673824771387795,0.094037453612132,0.0010747123273781
Spain,2021-10-12,1464.0,29.428571428571427,0.022,0.0145238095238095,94.85714285714286,11.0,0.0703361297041225,0.0933940272689526,0.0010500928434322
Spain,2021-10-13,1529.0,27.285714285714285,0.022,0.015,102.85714285714286,11.714285714285714,0.0731445422278582,0.0926583384851824,0.0012306855239583
Spain,2021-10-14,1546.857142857143,30.857142857142858,0.022,0.014047619047619,105.85714285714286,12.142857142857142,0.0763675412968271,0.0917790873425025,0.001183537990485
Spain,2021-10-15,1538.142857142857,28.0,0.022,0.0123809523809523,110.28571428571428,12.428571428571429,0.0800362640252018,0.0907507575888961,0.001183537990485
Spain,2021-10-16,1538.142857142857,28.0,0.022,0.0107142857142857,111.57142857142856,12.714285714285714,0.0840970357899311,0.0909041452273636,0.001183537990485
Spain,2021-10-17,1538.142857142857,28.0,0.023,0.0004761904761904,113.14285714285714,14.857142857142858,0.0882374986704055,0.0908820897675059,0.001270772407397
Spain,2021-10-18,1632.857142857143,29.0,0.022,-0.0116666666666666,115.28571428571428,15.285714285714286,0.0913355654527687,0.0915350578773504,0.0014013434380377
Spain,2021-10-19,1902.7142857142856,32.0,0.023,0.0119047619047619,121.85714285714286,16.0,0.0908406093622408,0.0926984210985633,0.0013324349239794
Spain,2021-10-20,1869.857142857143,30.428571428571427,0.024,0.0092857142857142,117.0,15.714285714285714,0.0906930714670164,0.0939705937569829,0.0011570173934695
Spain,2021-10-21,1862.571428571429,26.428571428571427,0.024,0.0076190476190476,117.28571428571428,15.714285714285714,0.0903729008468875,0.095504815597736,0.0009784778382816
Spain,2021-10-22,1906.571428571429,22.571428571428573,0.025,0.0042857142857142,116.14285714285714,15.285714285714286,0.0895952339372327,0.097295951153811,0.0009784778382816
Spain,2021-10-23,1906.571428571429,22.571428571428573,0.025,0.0052380952380952,116.28571428571428,16.285714285714285,0.0887467931906076,0.0975834037221829,0.0009784778382816
Spain,2021-10-24,1906.571428571429,22.571428571428573,0.025,0.0066666666666666,114.57142857142856,15.0,0.0878860866767313,0.0977400575145262,0.0009514720993432
Spain,2021-10-25,1905.571428571429,22.285714285714285,0.025,0.0059523809523809,112.57142857142856,14.857142857142858,0.0870277700755372,0.0968715493550542,0.0011252259940844
Spain,2021-10-26,1910.857142857143,26.714285714285715,0.026,0.0057142857142857,110.85714285714286,14.142857142857142,0.0843168824255955,0.0966364018498637,0.0012110115177976
Spain,2021-10-27,1911.4285714285716,29.571428571428573,0.026,0.0069047619047619,115.14285714285714,14.571428571428571,0.0818863264458285,0.0966457353405578,0.0012698263562574
Spain,2021-10-28,1958.7142857142856,31.428571428571427,0.026,0.009047619047619,117.0,15.0,0.0790747133788093,0.097069460700905,0.0013366303929952
Spain,2021-10-29,1916.571428571429,33.714285714285715,0.027,0.0083333333333333,120.85714285714286,15.857142857142858,0.0773388902523991,0.0979585514387505,0.0013366303929952
Spain,2021-10-30,1916.571428571429,33.714285714285715,0.028,0.0028571428571428,122.28571428571428,15.285714285714286,0.0762010158006304,0.0998530285660224,0.0013366303929952
Spain,2021-10-31,1916.571428571429,33.714285714285715,0.028,0.0111904761904761,122.71428571428572,15.0,0.0754414270037392,0.1015148785496136,0.0010119414029583
Spain,2021-11-01,1275.857142857143,26.0,0.028,-0.018095238095238,124.0,13.857142857142858,0.0833732530216687,0.103554366995269,0.0010658666534447
Spain,2021-11-02,1832.142857142857,26.428571428571427,0.029,-0.0209523809523809,136.28571428571428,14.857142857142858,0.08755279216423,0.1029471501883368,0.0010043790480988
Spain,2021-11-03,1797.142857142857,24.714285714285715,0.031,-0.0264285714285714,134.85714285714286,13.857142857142858,0.0921100669420606,0.1020651643956992,0.0009071722430474
Spain,2021-11-04,1951.2857142857144,22.142857142857142,0.032,-0.0314285714285714,134.42857142857142,12.714285714285714,0.0960980100973498,0.1007150659347832,0.0008006089671707
Spain,2021-11-05,2070.1428571428573,19.428571428571427,0.033,-0.0321428571428571,137.42857142857142,13.0,0.1000199013986605,0.0988617932366732,0.0008006089671707
Spain,2021-11-06,2070.1428571428573,19.428571428571427,0.034,-0.0307142857142857,136.71428571428572,14.0,0.1045433659302172,0.0977538139989837,0.0008006089671707
Spain,2021-11-07,2070.1428571428573,19.428571428571427,0.034,-0.0435714285714285,140.28571428571428,13.857142857142858,0.1094614355397666,0.0966732589350176,0.0010807718767143
Spain,2021-11-08,2986.8571428571427,27.142857142857142,0.035,-0.0159523809523809,153.42857142857142,15.857142857142858,0.1049378473485567,0.0948641786468771,0.0007225217008461
Spain,2021-11-09,2155.428571428572,19.285714285714285,0.036,-0.0183333333333333,152.14285714285714,17.142857142857142,0.1103003092756916,0.094482728551999,0.0008122778100489
Spain,2021-11-10,2751.714285714286,22.142857142857142,0.037,-0.018095238095238,158.42857142857142,19.285714285714285,0.1121820861463346,0.0941439941125585,0.000864500986966
Spain,2021-11-11,2893.8571428571427,24.285714285714285,0.039,-0.0185714285714285,165.14285714285714,20.0,0.11444782782606,0.0934903994122308,0.0008321912198612
Spain,2021-11-12,3073.8571428571427,24.142857142857142,0.041,-0.0176190476190476,166.71428571428572,20.142857142857142,0.1165520217504445,0.0925261895551589,0.0008321912198612
Spain,2021-11-13,3073.8571428571427,24.142857142857142,0.042,-0.0161904761904761,174.42857142857142,19.857142857142858,0.1187638954036931,0.0908381472546076,0.0008321912198612
Spain,2021-11-14,3073.8571428571427,24.142857142857142,0.043,-0.0166666666666666,180.7142857142857,20.714285714285715,0.1209392295791486,0.0899059565174377,0.0007240826794981
Spain,2021-11-15,3556.8571428571427,22.571428571428573,0.045,-0.0199999999999999,179.42857142857142,20.142857142857142,0.1214627561089388,0.0894457882598717,0.0008152186103102
Spain,2021-11-16,4141.285714285715,26.714285714285715,0.048,-0.0209523809523809,186.28571428571428,20.714285714285715,0.1192154758582399,0.0885661358032588,0.0006077061052888
Spain,2021-11-17,4170.714285714285,22.571428571428573,0.051,-0.0204761904761904,193.8571428571429,20.0,0.1194944156447089,0.0877229687216502,0.0005577634949894
Spain,2021-11-18,4460.571428571428,22.428571428571427,0.053,-0.0214285714285714,200.7142857142857,20.285714285714285,0.1198101409908753,0.0866364818476588,0.000463945785071
Spain,2021-11-19,4786.714285714285,19.571428571428573,0.056,-0.0226190476190476,216.28571428571428,21.571428571428573,0.1199074084058164,0.0852652497409675,0.000463945785071
Spain,2021-11-20,4786.714285714285,19.571428571428573,0.057,-0.0292857142857142,225.8571428571429,22.428571428571427,0.1198040566964669,0.084246198833151,0.000463945785071
Spain,2021-11-21,4786.714285714285,19.571428571428573,0.058,-0.0338095238095238,237.0,25.0,0.119550996746136,0.0833942260255232,0.0003493287700125
Spain,2021-11-22,5654.857142857143,16.571428571428573,0.061,-0.039047619047619,252.8571428571429,27.571428571428573,0.1192785037191756,0.083030516398063,0.000333839843579
Spain,2021-11-23,6038.571428571428,17.285714285714285,0.063,-0.0447619047619047,265.2857142857143,28.285714285714285,0.1177287864687771,0.0834422484792906,0.0003124034102267
Spain,2021-11-24,6304.285714285715,18.428571428571427,0.066,-0.0499999999999999,282.57142857142856,31.857142857142858,0.1173834516850356,0.0839290361064716,0.0002791621237315
Spain,2021-11-25,6724.714285714285,18.142857142857142,0.068,-0.0519047619047619,294.42857142857144,34.42857142857143,0.1168520848938472,0.0843974386044307,0.0003063547171407
Spain,2021-11-26,7192.714285714285,20.714285714285715,0.07,-0.0509523809523809,297.57142857142856,35.857142857142854,0.1162108959703361,0.0848030679014072,0.0003063547171407
